phase,url,title,title_length,description,description_length,canonical,robots,h1_count,og_title,og_description,og_image,issues
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,Prompts Library Coming Soon | Prompts by Robert DeVore,54,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",99,https://prompts.robertdevore.com/blog/prompts-coming-soon/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompts Library Coming Soon,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",https://prompts.robertdevore.com/images/prompts-coming-soon-social-e59499bf71d5.webp,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,Simpsons Character JSON Prompts | Prompts by Robert DeVore,58,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,116,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Simpsons Character JSON Prompts,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,https://prompts.robertdevore.com/images/simpsons-character-json-prompts-for-ai-generation-social-e34c9eec59fa.webp,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,Military Patch JSON Prompts | Prompts by Robert DeVore,54,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",133,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Military Patch JSON Prompts,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",https://prompts.robertdevore.com/images/top-secret-military-patches-json-prompt-social-f8c4b592a2e9.webp,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,YouTube Thumbnail JSON Prompts | Prompts by Robert DeVore,57,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",107,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,YouTube Thumbnail JSON Prompts,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",https://prompts.robertdevore.com/images/youtube-thumbnail-generation-with-ai-json-prompts-social-c0fe88c143a4.webp,
baseline,https://prompts.robertdevore.com/,Prompts by Robert DeVore,24,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",111,https://prompts.robertdevore.com/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompts by Robert DeVore,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",https://prompts.robertdevore.com/assets/social/home-social.png,
baseline,https://prompts.robertdevore.com/blog/,Blog | Prompts by Robert DeVore,31,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",136,https://prompts.robertdevore.com/blog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Blog,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",https://prompts.robertdevore.com/assets/social/blog-social.png,
baseline,https://prompts.robertdevore.com/page/2/,Prompt Library Page 2 | Prompts by Robert DeVore,48,"Browse page 2 of the AI prompt library for image generation, writing, business, marketing, coding, and more.",108,https://prompts.robertdevore.com/page/2/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompt Library Page 2,"Browse page 2 of the AI prompt library for image generation, writing, business, marketing, coding, and more.",https://prompts.robertdevore.com/assets/social/prompt-library-page-2-social.png,
baseline,https://prompts.robertdevore.com/blog/page/2/,Blog Page 2 | Prompts by Robert DeVore,38,"Browse page 2 of the latest prompts, examples, and practical AI workflows from Robert DeVore.",93,https://prompts.robertdevore.com/blog/page/2/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Blog Page 2,"Browse page 2 of the latest prompts, examples, and practical AI workflows from Robert DeVore.",https://prompts.robertdevore.com/assets/social/blog-page-2-social.png,
after,https://prompts.robertdevore.com/about/,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,https://prompts.robertdevore.com/about/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,About the Prompt Library,A practical library of reusable prompts for creative and professional work with AI.,https://prompts.robertdevore.com/images/about-social-3c6fabe97ffe.webp,
after,https://prompts.robertdevore.com/business/,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,https://prompts.robertdevore.com/business/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Business AI Prompts,"Prompts for strategy, operations, planning, analysis, and everyday business work.",https://prompts.robertdevore.com/images/business-social-8d5e6574a94a.webp,
after,https://prompts.robertdevore.com/coding/,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,https://prompts.robertdevore.com/coding/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Coding AI Prompts,"Prompts for software design, implementation, debugging, review, and documentation.",https://prompts.robertdevore.com/images/coding-social-f459df65ea08.webp,
after,https://prompts.robertdevore.com/contact/,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,https://prompts.robertdevore.com/contact/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Contact Robert DeVore,"Questions, feedback, or support for the Prompts library.",https://prompts.robertdevore.com/images/contact-social-820e1979fce3.webp,
after,https://prompts.robertdevore.com/images/,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,https://prompts.robertdevore.com/images/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,AI Image Generation Prompts,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",https://prompts.robertdevore.com/images/images-social-55c4ace9f1a5.webp,
after,https://prompts.robertdevore.com/marketing/,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,https://prompts.robertdevore.com/marketing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Marketing AI Prompts,"Prompts for campaigns, positioning, content, audience research, and growth.",https://prompts.robertdevore.com/images/marketing-social-6c79998a7a56.webp,
after,https://prompts.robertdevore.com/writing/,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,https://prompts.robertdevore.com/writing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Writing AI Prompts,"Prompts for drafting, editing, storytelling, research, and clearer communication.",https://prompts.robertdevore.com/images/writing-social-f256166abb39.webp,
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,Honest Company Diagnostic Prompt | Prompts by Robert DeVore,59,"Pressure-test a company or product with a candid analysis of its strengths, weaknesses, moat, wasted effort, and highest-leverage opportunities.",144,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Honest Company Diagnostic Prompt,"Pressure-test a company or product with a candid analysis of its strengths, weaknesses, moat, wasted effort, and highest-leverage opportunities.",https://prompts.robertdevore.com/images/brutally-honest-company-product-diagnostic-social-e4ef3b4fc5c5.webp,
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,Dependabot Security Agent Prompt | Prompts by Robert DeVore,59,"Run a conservative, repository-by-repository workflow for investigating, fixing, validating, delivering, and reporting GitHub Dependabot security alerts.",153,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Dependabot Security Agent Prompt,"Run a conservative, repository-by-repository workflow for investigating, fixing, validating, delivering, and reporting GitHub Dependabot security alerts.",https://prompts.robertdevore.com/images/dependabot-security-maintenance-agent-social-86999e9ec2f9.webp,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Glowing Neon Icons JSON Prompt,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",https://prompts.robertdevore.com/images/glowing-neon-icon-json-prompt-social-c708b178d7fd.webp,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Isometric 3D Icon JSON Prompt,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",https://prompts.robertdevore.com/images/isometric-3d-icon-json-prompt-for-ai-generated-designs-social-509154a2c6c9.webp,
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,Keyword Competitor Analysis Prompt | Prompts by Robert DeVore,61,"Research keyword demand, competition, leading content, audience needs, market trends, and underserved content opportunities in one structured report.",149,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Keyword Competitor Analysis Prompt,"Research keyword demand, competition, leading content, audience needs, market trends, and underserved content opportunities in one structured report.",https://prompts.robertdevore.com/images/keyword-competitor-content-analysis-social-d06ef1f38bcc.webp,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Metallic Sci-Fi HUD JSON Prompt,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",https://prompts.robertdevore.com/images/metallic-sci-fi-hud-social-48271c4de1e5.webp,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,Prompts Library Coming Soon | Prompts by Robert DeVore,54,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",99,https://prompts.robertdevore.com/blog/prompts-coming-soon/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompts Library Coming Soon,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",https://prompts.robertdevore.com/images/prompts-coming-soon-social-e59499bf71d5.webp,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,Simpsons Character JSON Prompts | Prompts by Robert DeVore,58,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,116,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Simpsons Character JSON Prompts,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,https://prompts.robertdevore.com/images/simpsons-character-json-prompts-for-ai-generation-social-e34c9eec59fa.webp,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,Military Patch JSON Prompts | Prompts by Robert DeVore,54,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",133,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Military Patch JSON Prompts,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",https://prompts.robertdevore.com/images/top-secret-military-patches-json-prompt-social-f8c4b592a2e9.webp,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,YouTube Thumbnail JSON Prompts | Prompts by Robert DeVore,57,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",107,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,YouTube Thumbnail JSON Prompts,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",https://prompts.robertdevore.com/images/youtube-thumbnail-generation-with-ai-json-prompts-social-c0fe88c143a4.webp,
after,https://prompts.robertdevore.com/,Prompts by Robert DeVore,24,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",111,https://prompts.robertdevore.com/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompts by Robert DeVore,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",https://prompts.robertdevore.com/assets/social/home-social.png,
after,https://prompts.robertdevore.com/blog/,Blog | Prompts by Robert DeVore,31,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",136,https://prompts.robertdevore.com/blog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Blog,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",https://prompts.robertdevore.com/assets/social/blog-social.png,
after,https://prompts.robertdevore.com/page/2/,Prompt Library Page 2 | Prompts by Robert DeVore,48,"Browse page 2 of the AI prompt library for image generation, writing, business, marketing, coding, and more.",108,https://prompts.robertdevore.com/page/2/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Prompt Library Page 2,"Browse page 2 of the AI prompt library for image generation, writing, business, marketing, coding, and more.",https://prompts.robertdevore.com/assets/social/prompt-library-page-2-social.png,
after,https://prompts.robertdevore.com/blog/page/2/,Blog Page 2 | Prompts by Robert DeVore,38,"Browse page 2 of the latest prompts, examples, and practical AI workflows from Robert DeVore.",93,https://prompts.robertdevore.com/blog/page/2/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Blog Page 2,"Browse page 2 of the latest prompts, examples, and practical AI workflows from Robert DeVore.",https://prompts.robertdevore.com/assets/social/blog-page-2-social.png,
