phase,page_url,image_url,alt,width,height,loading,format,bytes,exists,issues
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,https://prompts.robertdevore.com/assets/images/ascii-grunge/dependabot-security-maintenance.webp,An ASCII-grunge dependency graph protected by a shield and repaired chain,1672,941,,webp,220290,true,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,https://prompts.robertdevore.com/assets/images/glowing-3d-icons.webp,Glowing Neon Icon Example,1024,1024,,webp,42922,true,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,Isometric 3D icon Designs,2044,1024,,webp,69352,true,
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,https://prompts.robertdevore.com/assets/images/ascii-grunge/keyword-competitor-analysis.webp,An ASCII-grunge magnifying glass examining a keyword and competitor network,1672,941,,webp,242600,true,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-demon.webp,Cyber Demon,1024,1024,,webp,67318,true,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-wolf.webp,Tech Wolf,1024,1024,,webp,64742,true,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-lion.webp,Tech Lion,1024,1024,,webp,81840,true,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,https://prompts.robertdevore.com/assets/images/ascii-grunge/prompts-coming-soon.webp,An ASCII-grunge archive opening into a library of prompt cards,1672,941,,webp,363458,true,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-scene.webp,WWF Simpsons Scene,1536,1024,,webp,139468,true,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-robert-devore.webp,WWF Robert DeVore,1024,1536,,webp,67320,true,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-wolf-pack.webp,Wolf Pack patch,1024,1024,,webp,377238,true,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-1.webp,Patch 1,1024,1024,,webp,266758,true,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-2.webp,Patch 2,1024,1024,,webp,281820,true,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-3.webp,Patch 3,1024,1024,,webp,208040,true,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-4.webp,Patch 4,1024,1024,,webp,229160,true,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-with-json-prompts.webp,YouTube Thumbnails with JSON Prompts,1536,1024,,webp,226948,true,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-extreme-leadership.webp,YouTube Thumbnails with JSON Prompts Extreme Leadership Example,1536,1024,,webp,158886,true,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-10k.webp,YouTube Thumbnails with JSON Prompts 10K Example,1536,1024,,webp,164856,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/brutally-honest-product-diagnostic-7f8e59b5d956.webp,Featured image for Brutally Honest Company and Product Diagnostic Prompt,1672,941,lazy,webp,299058,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/dependabot-security-maintenance-a77a4b5bece7.webp,Featured image for Autonomous Dependabot Security Maintenance Agent Prompt,1672,941,lazy,webp,220290,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/keyword-competitor-analysis-946c60c998e4.webp,Featured image for Keyword and Competitor Content Analysis Prompt,1672,941,lazy,webp,242600,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,1024,1024,lazy,webp,42922,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,2044,1024,lazy,webp,69352,true,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/patch-wolf-pack-cdfba07eb89a.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,1024,1024,lazy,webp,377238,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/brutally-honest-product-diagnostic-7f8e59b5d956.webp,Featured image for Brutally Honest Company and Product Diagnostic Prompt,1672,941,lazy,webp,299058,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/dependabot-security-maintenance-a77a4b5bece7.webp,Featured image for Autonomous Dependabot Security Maintenance Agent Prompt,1672,941,lazy,webp,220290,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/keyword-competitor-analysis-946c60c998e4.webp,Featured image for Keyword and Competitor Content Analysis Prompt,1672,941,lazy,webp,242600,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,1024,1024,lazy,webp,42922,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,2044,1024,lazy,webp,69352,true,
after,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/patch-wolf-pack-cdfba07eb89a.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,1024,1024,lazy,webp,377238,true,
after,https://prompts.robertdevore.com/page/2/,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,1024,1024,lazy,webp,67318,true,
after,https://prompts.robertdevore.com/page/2/,https://prompts.robertdevore.com/images/youtube-thumbnails-with-json-prompts-1921a251e9c8.webp,Featured image for YouTube Thumbnail Generation with AI JSON Prompts,1536,1024,lazy,webp,226948,true,
after,https://prompts.robertdevore.com/page/2/,https://prompts.robertdevore.com/images/simpsons-wwf-scene-0525b8215013.webp,Featured image for Simpsons Character JSON Prompts for AI Generation,1536,1024,lazy,webp,139468,true,
after,https://prompts.robertdevore.com/page/2/,https://prompts.robertdevore.com/images/prompts-coming-soon-f45eaa7e7dfc.webp,Featured image for Prompts: Coming Soon,1672,941,lazy,webp,363458,true,
after,https://prompts.robertdevore.com/blog/page/2/,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,1024,1024,lazy,webp,67318,true,
after,https://prompts.robertdevore.com/blog/page/2/,https://prompts.robertdevore.com/images/youtube-thumbnails-with-json-prompts-1921a251e9c8.webp,Featured image for YouTube Thumbnail Generation with AI JSON Prompts,1536,1024,lazy,webp,226948,true,
after,https://prompts.robertdevore.com/blog/page/2/,https://prompts.robertdevore.com/images/simpsons-wwf-scene-0525b8215013.webp,Featured image for Simpsons Character JSON Prompts for AI Generation,1536,1024,lazy,webp,139468,true,
after,https://prompts.robertdevore.com/blog/page/2/,https://prompts.robertdevore.com/images/prompts-coming-soon-f45eaa7e7dfc.webp,Featured image for Prompts: Coming Soon,1672,941,lazy,webp,363458,true,
